JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
SENIOR BUSINESS INTELLIGENCE ANALYST (ORACLE EXPERT),Bosch Group,"Campinas, SP",há 19 dias,2021-10-18,Responsible for support concept for the Datalake Oracle Plattform; Provide Data Analytics Consulting as part of the Self-Service offering / Extend the existing…,Não informado
Analista de Business Intelligence,Publicis Brasil,"São Paulo, SP",há 30+ dias,2021-10-18,"A Publicis Brasil acredita que um time talentoso, engajado e diverso pode transformar o mercado e surpreender clientes e consumidores com as melhores soluções…",Não informado
Banco Original - Analista de Business Intelligence PL,Original,"São Paulo, SP",há 30+ dias,2021-10-18,"A vaga é para atuar no Time de Produtos Cartão de Crédito, no escopo de analytics. O time tem como objetivo dar todo os insumos/insigths para o direcionamento…",Não informado
Business Intelligence Developer / Analyst - Remote - LATAM,FullStack Labs,"São Paulo, SP",há 11 dias,2021-10-18,Design and develop multi-dimensional cubes and tabular models as per industry standards to satisfy business requirements. Competitive pay in US dollars.,Não informado
Analista Business Intelligence PL,Cyrela,"São Paulo, SP",há 11 dias,2021-10-18,"Contribuir com as iniciativas de Data Analytics da corporação, fazendo a intermediação junto as áreas de negócio, TI e parceiros.;",Não informado
novaClient Success Representative (Remote),Infotelligent,"São Paulo, SP",há 3 dias,2021-10-18,Work closely with the Sales team as they close new business and hand over new customers and trials for onboarding.,Não informado
Supervisor de Business Intelligence,BETC HAVAS,"São Paulo, SP",há 30+ dias,2021-10-18,"Queremos trabalhar com você, que tem o compromisso de realizar sonhos, entregar resultado e se divertir. Desenho e manutenção de dashboards em plataformas como…",Não informado
SR Analyst Merchandising Intelligence,Mondelēz International,"São Paulo, SP",há 13 dias,2021-10-18,You will implement the operational capabilities of the business and support the operational elements for the market.,Não informado
Analista de BI - ETL,Gocil Serviços de Vigilância e Segurança Ltda,"São Paulo, SP",há 30+ dias,2021-10-18,"Criar métricas, KPI´s, extrair, tratar e comparar dados através das bases das ferramentas das áreas, bases de mercado e concorrência.",R$ 4.100 - R$ 4.101 por mês
Intern - Founders Intelligence LATAM,Founders Intelligence,"São Paulo, SP",há 30+ dias,2021-10-18,"We launched in London in 2013, born out of the Founders Forum (www.ff.co) entrepreneur ecosystem, and are looking to grow the São Paulo team after arriving in…",Não informado
